Exp Category,State,Year,Value
Aggregate_Expenditure,Bihar,1981-82,1871
Aggregate_Expenditure,Bihar,1982-83,1940
Aggregate_Expenditure,Bihar,1983-84,2144
Aggregate_Expenditure,Bihar,1984-85,2408
Aggregate_Expenditure,Bihar,1985-86,2966
Aggregate_Expenditure,Bihar,1986-87,3360
Aggregate_Expenditure,Bihar,1987-88,3914
Aggregate_Expenditure,Bihar,1988-89,4324
Aggregate_Expenditure,Bihar,1989-90,5219
Aggregate_Expenditure,Bihar,1990-91,6217
Aggregate_Expenditure,Bihar,1991-92,6805
Aggregate_Expenditure,Bihar,1992-93,7743
Aggregate_Expenditure,Bihar,1993-94,8433
Aggregate_Expenditure,Bihar,1994-95,8555
Aggregate_Expenditure,Bihar,1995-96,9417
Aggregate_Expenditure,Bihar,1996-97,9407
Aggregate_Expenditure,Bihar,1997-98,10216
Aggregate_Expenditure,Bihar,1998-99,12171
Aggregate_Expenditure,Bihar,1999-00,19548
Aggregate_Expenditure,Bihar,2000-01,16946
Aggregate_Expenditure,Bihar,2001-02,14869
Aggregate_Expenditure,Bihar,2002-03,17752
Aggregate_Expenditure,Bihar,2003-04,19134
Aggregate_Expenditure,Bihar,2004-05,20055
Aggregate_Expenditure,Bihar,2005-06,22568
Aggregate_Expenditure,Bihar,2006-07,27136
Aggregate_Expenditure,Bihar,2007-08,31573
Aggregate_Expenditure,Bihar,2008-09,37181.25
Aggregate_Expenditure,Bihar,2009-10,42796.03
Aggregate_Expenditure,Bihar,2010-11,50704.52
Aggregate_Expenditure,Bihar,2011-12,60180.03
Aggregate_Expenditure,Bihar,2012-13,69206.57
Aggregate_Expenditure,Bihar,2013-14,80405.17
Aggregate_Expenditure,Bihar,2014-15 (RE),132186.89
Aggregate_Expenditure,Bihar,2015-16 (BE),120685.32
Aggregate_Expenditure,Chhattisgarh,1980-81,–
Aggregate_Expenditure,Chhattisgarh,1981-82,–
Aggregate_Expenditure,Chhattisgarh,1982-83,–
Aggregate_Expenditure,Chhattisgarh,1983-84,–
Aggregate_Expenditure,Chhattisgarh,1984-85,–
Aggregate_Expenditure,Chhattisgarh,1985-86,–
Aggregate_Expenditure,Chhattisgarh,1986-87,–
Aggregate_Expenditure,Chhattisgarh,1987-88,–
Aggregate_Expenditure,Chhattisgarh,1988-89,–
Aggregate_Expenditure,Chhattisgarh,1989-90,–
Aggregate_Expenditure,Chhattisgarh,1990-91,–
Aggregate_Expenditure,Chhattisgarh,1991-92,–
Aggregate_Expenditure,Chhattisgarh,1992-93,–
Aggregate_Expenditure,Chhattisgarh,1993-94,–
Aggregate_Expenditure,Chhattisgarh,1994-95,–
Aggregate_Expenditure,Chhattisgarh,1995-96,–
Aggregate_Expenditure,Chhattisgarh,1996-97,–
Aggregate_Expenditure,Chhattisgarh,1997-98,–
Aggregate_Expenditure,Chhattisgarh,1998-99,–
Aggregate_Expenditure,Chhattisgarh,1999-00,–
Aggregate_Expenditure,Chhattisgarh,2000-01,1917
Aggregate_Expenditure,Chhattisgarh,2001-02,5624
Aggregate_Expenditure,Chhattisgarh,2002-03,6822
Aggregate_Expenditure,Chhattisgarh,2003-04,8951
Aggregate_Expenditure,Chhattisgarh,2004-05,9647
Aggregate_Expenditure,Chhattisgarh,2005-06,9725
Aggregate_Expenditure,Chhattisgarh,2006-07,11991
Aggregate_Expenditure,Chhattisgarh,2007-08,15029
Aggregate_Expenditure,Chhattisgarh,2008-09,17713.97
Aggregate_Expenditure,Chhattisgarh,2009-10,21558.72
Aggregate_Expenditure,Chhattisgarh,2010-11,23564.68
Aggregate_Expenditure,Chhattisgarh,2011-12,28720.69
Aggregate_Expenditure,Chhattisgarh,2012-13,34819.25
Aggregate_Expenditure,Chhattisgarh,2013-14,39441.94
Aggregate_Expenditure,Chhattisgarh,2014-15 (RE),55979.35
Aggregate_Expenditure,Chhattisgarh,2015-16 (BE),65810.7
Aggregate_Expenditure,Goa,1980-81,–
Aggregate_Expenditure,Goa,1981-82,–
Aggregate_Expenditure,Goa,1982-83,–
Aggregate_Expenditure,Goa,1983-84,–
Aggregate_Expenditure,Goa,1984-85,–
Aggregate_Expenditure,Goa,1985-86,–
Aggregate_Expenditure,Goa,1986-87,255
Aggregate_Expenditure,Goa,1987-88,258
Aggregate_Expenditure,Goa,1988-89,284
Aggregate_Expenditure,Goa,1989-90,327
Aggregate_Expenditure,Goa,1990-91,395
Aggregate_Expenditure,Goa,1991-92,466
Aggregate_Expenditure,Goa,1992-93,499
Aggregate_Expenditure,Goa,1993-94,558
Aggregate_Expenditure,Goa,1994-95,601
Aggregate_Expenditure,Goa,1995-96,943
Aggregate_Expenditure,Goa,1996-97,946
Aggregate_Expenditure,Goa,1997-98,1270
Aggregate_Expenditure,Goa,1998-99,1458
Aggregate_Expenditure,Goa,1999-00,1614
Aggregate_Expenditure,Goa,2000-01,1962
Aggregate_Expenditure,Goa,2001-02,2353
Aggregate_Expenditure,Goa,2002-03,2401
Aggregate_Expenditure,Goa,2003-04,2416
Aggregate_Expenditure,Goa,2004-05,2541
Aggregate_Expenditure,Goa,2005-06,2849
Aggregate_Expenditure,Goa,2006-07,3176
Aggregate_Expenditure,Goa,2007-08,3559
Aggregate_Expenditure,Goa,2008-09,4517.43
Aggregate_Expenditure,Goa,2009-10,5524.45
Aggregate_Expenditure,Goa,2010-11,6228.9
Aggregate_Expenditure,Goa,2011-12,6953.57
Aggregate_Expenditure,Goa,2012-13,7346.45
Aggregate_Expenditure,Goa,2013-14,8149.5
Aggregate_Expenditure,Goa,2014-15 (RE),10131.41
Aggregate_Expenditure,Goa,2015-16 (BE),13102.77
Aggregate_Expenditure,Gujarat,1980-81,1442
Aggregate_Expenditure,Gujarat,1981-82,1565
Aggregate_Expenditure,Gujarat,1982-83,1949
Aggregate_Expenditure,Gujarat,1983-84,2178
Aggregate_Expenditure,Gujarat,1984-85,2463
Aggregate_Expenditure,Gujarat,1985-86,2625
Aggregate_Expenditure,Gujarat,1986-87,3323
Aggregate_Expenditure,Gujarat,1987-88,4089
Aggregate_Expenditure,Gujarat,1988-89,4374
Aggregate_Expenditure,Gujarat,1989-90,4844
Aggregate_Expenditure,Gujarat,1990-91,5470
Aggregate_Expenditure,Gujarat,1991-92,6908
Aggregate_Expenditure,Gujarat,1992-93,7987
Aggregate_Expenditure,Gujarat,1993-94,8408
Aggregate_Expenditure,Gujarat,1994-95,9498
Aggregate_Expenditure,Gujarat,1995-96,10811
Aggregate_Expenditure,Gujarat,1996-97,12576
Aggregate_Expenditure,Gujarat,1997-98,14875
Aggregate_Expenditure,Gujarat,1998-99,19172
Aggregate_Expenditure,Gujarat,1999-00,21466
Aggregate_Expenditure,Gujarat,2000-01,27175
Aggregate_Expenditure,Gujarat,2001-02,25651
Aggregate_Expenditure,Gujarat,2002-03,26921
Aggregate_Expenditure,Gujarat,2003-04,32986
Aggregate_Expenditure,Gujarat,2004-05,34900
Aggregate_Expenditure,Gujarat,2005-06,34235
Aggregate_Expenditure,Gujarat,2006-07,39200
Aggregate_Expenditure,Gujarat,2007-08,42681
Aggregate_Expenditure,Gujarat,2008-09,51897.42
Aggregate_Expenditure,Gujarat,2009-10,60335.23
Aggregate_Expenditure,Gujarat,2010-11,71606.61
Aggregate_Expenditure,Gujarat,2011-12,79414.19
Aggregate_Expenditure,Gujarat,2012-13,98281.32
Aggregate_Expenditure,Gujarat,2013-14,104720.58
Aggregate_Expenditure,Gujarat,2014-15 (RE),125490.25
Aggregate_Expenditure,Gujarat,2015-16 (BE),137518.73
Aggregate_Expenditure,Haryana,1980-81,607
Aggregate_Expenditure,Haryana,1981-82,696
Aggregate_Expenditure,Haryana,1982-83,917
Aggregate_Expenditure,Haryana,1983-84,960
Aggregate_Expenditure,Haryana,1984-85,1120
Aggregate_Expenditure,Haryana,1985-86,1315
Aggregate_Expenditure,Haryana,1986-87,1509
Aggregate_Expenditure,Haryana,1987-88,1663
Aggregate_Expenditure,Haryana,1988-89,1879
Aggregate_Expenditure,Haryana,1989-90,2121
Aggregate_Expenditure,Haryana,1990-91,2397
Aggregate_Expenditure,Haryana,1991-92,2727
Aggregate_Expenditure,Haryana,1992-93,2956
Aggregate_Expenditure,Haryana,1993-94,4109
Aggregate_Expenditure,Haryana,1994-95,6912
Aggregate_Expenditure,Haryana,1995-96,6131
Aggregate_Expenditure,Haryana,1996-97,7831
Aggregate_Expenditure,Haryana,1997-98,7806
Aggregate_Expenditure,Haryana,1998-99,8581
Aggregate_Expenditure,Haryana,1999-00,8359
Aggregate_Expenditure,Haryana,2000-01,9159
Aggregate_Expenditure,Haryana,2001-02,10728
Aggregate_Expenditure,Haryana,2002-03,10582
Aggregate_Expenditure,Haryana,2003-04,15122
Aggregate_Expenditure,Haryana,2004-05,14442
Aggregate_Expenditure,Haryana,2005-06,14830
Aggregate_Expenditure,Haryana,2006-07,19638
Aggregate_Expenditure,Haryana,2007-08,22079
