State,Year,Value
Maharashtra,1987-88,-74
Orissa,1987-88,75
Punjab,1987-88,229
Rajasthan,1987-88,356
Tamil Nadu,1987-88,283
Uttar Pradesh,1987-88,-252
West Bengal,1987-88,115
Arunachal Pradesh,1987-88,-50
Assam,1987-88,84
Himachal Pradesh,1987-88,-41
Jammu and Kashmir,1987-88,107
Manipur,1987-88,-72
Meghalaya,1987-88,-66
Mizoram,1987-88,52
Nagaland,1987-88,-23
Sikkim,1987-88,-28
Tripura,1987-88,-20
Uttarakhand,1987-88,–
NCT Delhi,1987-88,–
Puducherry,1987-88,–
Andhra Pradesh,1988-89,-33
Bihar,1988-89,-278
Chhattisgarh,1988-89,–
Goa,1988-89,-12
Gujarat,1988-89,127
Haryana,1988-89,2
Jharkhand,1988-89,–
Karnataka,1988-89,39
Kerala,1988-89,164
Madhya Pradesh,1988-89,146
Maharashtra,1988-89,241
Orissa,1988-89,108
Punjab,1988-89,244
Rajasthan,1988-89,219
Tamil Nadu,1988-89,274
Uttar Pradesh,1988-89,605
West Bengal,1988-89,137
Arunachal Pradesh,1988-89,-93
Assam,1988-89,62
Himachal Pradesh,1988-89,70
Jammu and Kashmir,1988-89,64
Manipur,1988-89,-65
Meghalaya,1988-89,-78
Mizoram,1988-89,-43
Nagaland,1988-89,-41
Sikkim,1988-89,-36
Tripura,1988-89,-15
Uttarakhand,1988-89,–
NCT Delhi,1988-89,–
Puducherry,1988-89,–
Andhra Pradesh,1989-90,238
Bihar,1989-90,34
Chhattisgarh,1989-90,–
Goa,1989-90,11
Gujarat,1989-90,126
Haryana,1989-90,95
Jharkhand,1989-90,–
Karnataka,1989-90,147
Kerala,1989-90,250
Madhya Pradesh,1989-90,-98
Maharashtra,1989-90,374
Orissa,1989-90,105
Punjab,1989-90,221
Rajasthan,1989-90,30
Tamil Nadu,1989-90,479
Uttar Pradesh,1989-90,1031
West Bengal,1989-90,477
Arunachal Pradesh,1989-90,-32
Assam,1989-90,137
Himachal Pradesh,1989-90,61
Jammu and Kashmir,1989-90,123
Manipur,1989-90,-33
Meghalaya,1989-90,-50
Mizoram,1989-90,-64
Nagaland,1989-90,46
Sikkim,1989-90,-19
Tripura,1989-90,-7
Uttarakhand,1989-90,–
NCT Delhi,1989-90,–
Puducherry,1989-90,–
Andhra Pradesh,1990-91,158
Bihar,1990-91,566
Chhattisgarh,1990-91,–
Goa,1990-91,-7
Gujarat,1990-91,703
Haryana,1990-91,20
Jharkhand,1990-91,–
Karnataka,1990-91,79
Kerala,1990-91,422
Madhya Pradesh,1990-91,201
Maharashtra,1990-91,55
Orissa,1990-91,20
Punjab,1990-91,544
Rajasthan,1990-91,-168
Tamil Nadu,1990-91,553
Uttar Pradesh,1990-91,1228
West Bengal,1990-91,1019
Arunachal Pradesh,1990-91,-100
Assam,1990-91,144
Himachal Pradesh,1990-91,95
Jammu and Kashmir,1990-91,91
Manipur,1990-91,-89
Meghalaya,1990-91,-42
Mizoram,1990-91,-157
Nagaland,1990-91,5
Sikkim,1990-91,-31
Tripura,1990-91,2
Uttarakhand,1990-91,–
NCT Delhi,1990-91,–
Puducherry,1990-91,–
Andhra Pradesh,1991-92,170
Bihar,1991-92,885
Chhattisgarh,1991-92,–
Goa,1991-92,10
Gujarat,1991-92,576
Haryana,1991-92,32
Jharkhand,1991-92,–
Karnataka,1991-92,179
Kerala,1991-92,364
Madhya Pradesh,1991-92,44
Maharashtra,1991-92,276
Orissa,1991-92,188
Punjab,1991-92,481
Rajasthan,1991-92,-49
Tamil Nadu,1991-92,1904
Uttar Pradesh,1991-92,725
West Bengal,1991-92,646
Arunachal Pradesh,1991-92,-158
Assam,1991-92,-270
Himachal Pradesh,1991-92,-10
Jammu and Kashmir,1991-92,-104
Manipur,1991-92,-73
Meghalaya,1991-92,-36
Mizoram,1991-92,-79
Nagaland,1991-92,-6
Sikkim,1991-92,-27
Tripura,1991-92,-16
Uttarakhand,1991-92,–
NCT Delhi,1991-92,–
Puducherry,1991-92,–
Andhra Pradesh,1992-93,124
Bihar,1992-93,606
Chhattisgarh,1992-93,–
Goa,1992-93,-9
Gujarat,1992-93,300
Haryana,1992-93,2
Jharkhand,1992-93,–
Karnataka,1992-93,170
Kerala,1992-93,337
Madhya Pradesh,1992-93,-285
Maharashtra,1992-93,729
Orissa,1992-93,136
Punjab,1992-93,636
Rajasthan,1992-93,110
Tamil Nadu,1992-93,1526
Uttar Pradesh,1992-93,1015
West Bengal,1992-93,437
Arunachal Pradesh,1992-93,-163
Assam,1992-93,-162
Himachal Pradesh,1992-93,93
Jammu and Kashmir,1992-93,-267
Manipur,1992-93,-82
Meghalaya,1992-93,-18
Mizoram,1992-93,-47
Nagaland,1992-93,13
Sikkim,1992-93,-30
Tripura,1992-93,-54
Uttarakhand,1992-93,–
NCT Delhi,1992-93,–
Puducherry,1992-93,–
Andhra Pradesh,1993-94,-232
Bihar,1993-94,690
Chhattisgarh,1993-94,–
Goa,1993-94,-33
Gujarat,1993-94,-96
Haryana,1993-94,-81
Jharkhand,1993-94,–
Karnataka,1993-94,-116
Kerala,1993-94,371
Madhya Pradesh,1993-94,448
Maharashtra,1993-94,122
Orissa,1993-94,274
Punjab,1993-94,767
Rajasthan,1993-94,301
Tamil Nadu,1993-94,692
Uttar Pradesh,1993-94,1149
West Bengal,1993-94,984
Arunachal Pradesh,1993-94,-148
Assam,1993-94,-416
Himachal Pradesh,1993-94,-114
Jammu and Kashmir,1993-94,-459
Manipur,1993-94,-141
Meghalaya,1993-94,-18
Mizoram,1993-94,-84
Nagaland,1993-94,47
Sikkim,1993-94,-36
Tripura,1993-94,–
Uttarakhand,1993-94,–
NCT Delhi,1993-94,-59
Puducherry,1993-94,–
Andhra Pradesh,1994-95,728
Bihar,1994-95,933
Chhattisgarh,1994-95,–
Goa,1994-95,-56
Gujarat,1994-95,-262
Haryana,1994-95,391
Jharkhand,1994-95,–
Karnataka,1994-95,296
Kerala,1994-95,400
Madhya Pradesh,1994-95,191
Maharashtra,1994-95,-277
Orissa,1994-95,460
Punjab,1994-95,742
Rajasthan,1994-95,425
Tamil Nadu,1994-95,416
Uttar Pradesh,1994-95,2003
West Bengal,1994-95,767
Arunachal Pradesh,1994-95,-167
Assam,1994-95,309
Himachal Pradesh,1994-95,308
Jammu and Kashmir,1994-95,-703
Manipur,1994-95,-84
Meghalaya,1994-95,-73
Mizoram,1994-95,-75
Nagaland,1994-95,91
Sikkim,1994-95,-20
Tripura,1994-95,-36
Uttarakhand,1994-95,–
NCT Delhi,1994-95,-550
Puducherry,1994-95,–
Andhra Pradesh,1995-96,739
Bihar,1995-96,1079
Chhattisgarh,1995-96,–
Goa,1995-96,-33
Gujarat,1995-96,222
Haryana,1995-96,347
Jharkhand,1995-96,–
Karnataka,1995-96,-62
Kerala,1995-96,403
Madhya Pradesh,1995-96,477
Maharashtra,1995-96,609
Orissa,1995-96,807
Punjab,1995-96,450
Rajasthan,1995-96,702
Tamil Nadu,1995-96,311
Uttar Pradesh,1995-96,2341
West Bengal,1995-96,1250
Arunachal Pradesh,1995-96,-247
Assam,1995-96,200
Himachal Pradesh,1995-96,150
Jammu and Kashmir,1995-96,-741
Manipur,1995-96,-73
Meghalaya,1995-96,-104
Mizoram,1995-96,-62
Nagaland,1995-96,64
Sikkim,1995-96,-60
Tripura,1995-96,-151
Uttarakhand,1995-96,–
NCT Delhi,1995-96,-419
Puducherry,1995-96,–
Andhra Pradesh,1996-97,3199
Bihar,1996-97,216
Chhattisgarh,1996-97,–
Goa,1996-97,-22
Gujarat,1996-97,591
Haryana,1996-97,719
Jharkhand,1996-97,–
Karnataka,1996-97,579
Kerala,1996-97,643
Madhya Pradesh,1996-97,1448
Maharashtra,1996-97,1591
Orissa,1996-97,831
Punjab,1996-97,1357
Rajasthan,1996-97,866
Tamil Nadu,1996-97,1104
Uttar Pradesh,1996-97,3179
West Bengal,1996-97,2135
Arunachal Pradesh,1996-97,-207
Assam,1996-97,-285
Himachal Pradesh,1996-97,155
Jammu and Kashmir,1996-97,-792
Manipur,1996-97,-100
Meghalaya,1996-97,-114
Mizoram,1996-97,-47
Nagaland,1996-97,-9
Sikkim,1996-97,-39
Tripura,1996-97,-122
Uttarakhand,1996-97,–
NCT Delhi,1996-97,-764
Puducherry,1996-97,–
Andhra Pradesh,1997-98,703
Bihar,1997-98,264
Chhattisgarh,1997-98,–
Goa,1997-98,14
Gujarat,1997-98,1018
Haryana,1997-98,719
Jharkhand,1997-98,–
Karnataka,1997-98,277
Kerala,1997-98,1123
Madhya Pradesh,1997-98,469
Maharashtra,1997-98,2580
Orissa,1997-98,905
Punjab,1997-98,1484
Rajasthan,1997-98,582
Tamil Nadu,1997-98,1364
Uttar Pradesh,1997-98,4624
West Bengal,1997-98,2294
Arunachal Pradesh,1997-98,-172
Assam,1997-98,-287
Himachal Pradesh,1997-98,529
Jammu and Kashmir,1997-98,-808
Manipur,1997-98,-65
Meghalaya,1997-98,-12
Mizoram,1997-98,-60
Nagaland,1997-98,11
Sikkim,1997-98,-41
Tripura,1997-98,-22
Uttarakhand,1997-98,–
NCT Delhi,1997-98,-1159
Puducherry,1997-98,–
Andhra Pradesh,1998-99,2684
Bihar,1998-99,1351
Chhattisgarh,1998-99,–
Goa,1998-99,141
Gujarat,1998-99,2863
Haryana,1998-99,1540
Jharkhand,1998-99,–
Karnataka,1998-99,1215
Kerala,1998-99,2030
Madhya Pradesh,1998-99,2872
Maharashtra,1998-99,3926
Orissa,1998-99,2265
Punjab,1998-99,2629
Rajasthan,1998-99,2996
Tamil Nadu,1998-99,3437
Uttar Pradesh,1998-99,8696
West Bengal,1998-99,4856
Arunachal Pradesh,1998-99,-177
Assam,1998-99,-90
Himachal Pradesh,1998-99,1022
Jammu and Kashmir,1998-99,400
Manipur,1998-99,-108
Meghalaya,1998-99,-17
Mizoram,1998-99,-44
Nagaland,1998-99,13
Sikkim,1998-99,55
Tripura,1998-99,-93
Uttarakhand,1998-99,–
NCT Delhi,1998-99,-820
Puducherry,1998-99,–
Andhra Pradesh,1999-00,1233
Bihar,1999-00,3550
Chhattisgarh,1999-00,–
Goa,1999-00,209
Gujarat,1999-00,3617
Haryana,1999-00,1185
Jharkhand,1999-00,–
Karnataka,1999-00,2325
Kerala,1999-00,3624
Madhya Pradesh,1999-00,2932
Maharashtra,1999-00,4269
Orissa,1999-00,2574
Punjab,1999-00,2727
Rajasthan,1999-00,3640
Tamil Nadu,1999-00,4400
Uttar Pradesh,1999-00,7253
West Bengal,1999-00,9287
Arunachal Pradesh,1999-00,-199
Assam,1999-00,1005
Himachal Pradesh,1999-00,106
Jammu and Kashmir,1999-00,542
Manipur,1999-00,287
Meghalaya,1999-00,-16
Mizoram,1999-00,-59
Nagaland,1999-00,36
Sikkim,1999-00,-2
Tripura,1999-00,23
Uttarakhand,1999-00,–
NCT Delhi,1999-00,-751
Puducherry,1999-00,–
Andhra Pradesh,2000-01,3595
Bihar,2000-01,2961
Chhattisgarh,2000-01,-271
Goa,2000-01,226
Gujarat,2000-01,6302
Haryana,2000-01,608
Jharkhand,2000-01,–
Karnataka,2000-01,1862
Kerala,2000-01,3147
Madhya Pradesh,2000-01,1319
Maharashtra,2000-01,7834
Orissa,2000-01,1927
Punjab,2000-01,2336
Rajasthan,2000-01,2634
Tamil Nadu,2000-01,3436
Uttar Pradesh,2000-01,6289
West Bengal,2000-01,7581
Arunachal Pradesh,2000-01,-52
Assam,2000-01,780
Himachal Pradesh,2000-01,1331
Jammu and Kashmir,2000-01,1259
Manipur,2000-01,86
Meghalaya,2000-01,-53
Mizoram,2000-01,193
Nagaland,2000-01,–
Sikkim,2000-01,-99
Tripura,2000-01,96
Uttarakhand,2000-01,-11
NCT Delhi,2000-01,-1748
Puducherry,2000-01,–
Andhra Pradesh,2001-02,2881
Bihar,2001-02,2342
Chhattisgarh,2001-02,538
Goa,2001-02,229
Gujarat,2001-02,6732
Haryana,2001-02,1056
Jharkhand,2001-02,-101
Karnataka,2001-02,3285
Kerala,2001-02,2606
Madhya Pradesh,2001-02,3168
Maharashtra,2001-02,8189
Orissa,2001-02,2830
Punjab,2001-02,3781
Rajasthan,2001-02,3796
Tamil Nadu,2001-02,2739
Uttar Pradesh,2001-02,6182
West Bengal,2001-02,8856
Arunachal Pradesh,2001-02,-28
Assam,2001-02,881
Himachal Pradesh,2001-02,861
Jammu and Kashmir,2001-02,-736
Manipur,2001-02,161
Meghalaya,2001-02,34
Mizoram,2001-02,260
Nagaland,2001-02,-45
Sikkim,2001-02,-143
Tripura,2001-02,-54
Uttarakhand,2001-02,100
NCT Delhi,2001-02,-1210
Puducherry,2001-02,–
Andhra Pradesh,2002-03,3054
Bihar,2002-03,2457
Chhattisgarh,2002-03,113
Goa,2002-03,167
Gujarat,2002-03,3565
Haryana,2002-03,685
Jharkhand,2002-03,331
Karnataka,2002-03,2646
Kerala,2002-03,4122
Madhya Pradesh,2002-03,1169
Maharashtra,2002-03,9371
Orissa,2002-03,1576
Punjab,2002-03,3754
Rajasthan,2002-03,3934
Tamil Nadu,2002-03,4851
Uttar Pradesh,2002-03,5117
West Bengal,2002-03,8635
Arunachal Pradesh,2002-03,-77
Assam,2002-03,319
Himachal Pradesh,2002-03,1482
Jammu and Kashmir,2002-03,-652
Manipur,2002-03,87
Meghalaya,2002-03,-84
Mizoram,2002-03,109
Nagaland,2002-03,107
Sikkim,2002-03,-198
Tripura,2002-03,81
Uttarakhand,2002-03,457
