State,Year,Value
Rajasthan,1987-88,2539
Tamil Nadu,1987-88,3375
Uttar Pradesh,1987-88,5080
West Bengal,1987-88,3028
Arunachal Pradesh,1987-88,246
Assam,1987-88,1326
Himachal Pradesh,1987-88,609
Jammu and Kashmir,1987-88,861
Manipur,1987-88,215
Meghalaya,1987-88,190
Mizoram,1987-88,246
Nagaland,1987-88,328
Sikkim,1987-88,99
Tripura,1987-88,294
Uttarakhand,1987-88,–
NCT Delhi,1987-88,–
Puducherry,1987-88,–
Andhra Pradesh,1988-89,4246
Bihar,1988-89,3211
Chhattisgarh,1988-89,–
Goa,1988-89,199
Gujarat,1988-89,3362
Haryana,1988-89,1443
Jharkhand,1988-89,–
Karnataka,1988-89,3002
Kerala,1988-89,2061
Madhya Pradesh,1988-89,3618
Maharashtra,1988-89,6541
Orissa,1988-89,1659
Punjab,1988-89,1868
Rajasthan,1988-89,2571
Tamil Nadu,1988-89,3763
Uttar Pradesh,1988-89,6257
West Bengal,1988-89,3475
Arunachal Pradesh,1988-89,214
Assam,1988-89,1435
Himachal Pradesh,1988-89,768
Jammu and Kashmir,1988-89,966
Manipur,1988-89,278
Meghalaya,1988-89,225
Mizoram,1988-89,231
Nagaland,1988-89,344
Sikkim,1988-89,113
Tripura,1988-89,381
Uttarakhand,1988-89,–
NCT Delhi,1988-89,–
Puducherry,1988-89,–
Andhra Pradesh,1989-90,4715
Bihar,1989-90,3945
Chhattisgarh,1989-90,–
Goa,1989-90,228
Gujarat,1989-90,3727
Haryana,1989-90,1702
Jharkhand,1989-90,–
Karnataka,1989-90,3483
Kerala,1989-90,2298
Madhya Pradesh,1989-90,3779
Maharashtra,1989-90,7903
Orissa,1989-90,1846
Punjab,1989-90,2021
Rajasthan,1989-90,2698
Tamil Nadu,1989-90,4731
Uttar Pradesh,1989-90,7654
West Bengal,1989-90,3971
Arunachal Pradesh,1989-90,258
Assam,1989-90,1669
Himachal Pradesh,1989-90,783
Jammu and Kashmir,1989-90,1081
Manipur,1989-90,299
Meghalaya,1989-90,259
Mizoram,1989-90,240
Nagaland,1989-90,393
Sikkim,1989-90,115
Tripura,1989-90,420
Uttarakhand,1989-90,–
NCT Delhi,1989-90,–
Puducherry,1989-90,–
Andhra Pradesh,1990-91,5505
Bihar,1990-91,4888
Chhattisgarh,1990-91,–
Goa,1990-91,275
Gujarat,1990-91,4082
Haryana,1990-91,1933
Jharkhand,1990-91,–
Karnataka,1990-91,3971
Kerala,1990-91,2825
Madhya Pradesh,1990-91,4746
Maharashtra,1990-91,8754
Orissa,1990-91,2191
Punjab,1990-91,2520
Rajasthan,1990-91,3480
Tamil Nadu,1990-91,5641
Uttar Pradesh,1990-91,9539
West Bengal,1990-91,5128
Arunachal Pradesh,1990-91,258
Assam,1990-91,1920
Himachal Pradesh,1990-91,902
Jammu and Kashmir,1990-91,1249
Manipur,1990-91,307
Meghalaya,1990-91,311
Mizoram,1990-91,305
Nagaland,1990-91,422
Sikkim,1990-91,128
Tripura,1990-91,497
Uttarakhand,1990-91,–
NCT Delhi,1990-91,–
Puducherry,1990-91,–
Andhra Pradesh,1991-92,6452
Bihar,1991-92,5739
Chhattisgarh,1991-92,–
Goa,1991-92,332
Gujarat,1991-92,5238
Haryana,1991-92,2274
Jharkhand,1991-92,–
Karnataka,1991-92,4954
Kerala,1991-92,3216
Madhya Pradesh,1991-92,5421
Maharashtra,1991-92,10049
Orissa,1991-92,2635
Punjab,1991-92,4197
Rajasthan,1991-92,4080
Tamil Nadu,1991-92,8680
Uttar Pradesh,1991-92,10399
West Bengal,1991-92,5324
Arunachal Pradesh,1991-92,288
Assam,1991-92,2148
Himachal Pradesh,1991-92,983
Jammu and Kashmir,1991-92,1521
Manipur,1991-92,378
Meghalaya,1991-92,368
Mizoram,1991-92,321
Nagaland,1991-92,489
Sikkim,1991-92,155
Tripura,1991-92,548
Uttarakhand,1991-92,–
NCT Delhi,1991-92,–
Puducherry,1991-92,–
Andhra Pradesh,1992-93,7190
Bihar,1992-93,6570
Chhattisgarh,1992-93,–
Goa,1992-93,380
Gujarat,1992-93,6211
Haryana,1992-93,2379
Jharkhand,1992-93,–
Karnataka,1992-93,5592
Kerala,1992-93,3656
Madhya Pradesh,1992-93,6157
Maharashtra,1992-93,11547
Orissa,1992-93,3049
Punjab,1992-93,3423
Rajasthan,1992-93,4997
Tamil Nadu,1992-93,8543
Uttar Pradesh,1992-93,12691
West Bengal,1992-93,5664
Arunachal Pradesh,1992-93,340
Assam,1992-93,2451
Himachal Pradesh,1992-93,1146
Jammu and Kashmir,1992-93,1782
Manipur,1992-93,398
Meghalaya,1992-93,410
Mizoram,1992-93,374
Nagaland,1992-93,527
Sikkim,1992-93,180
Tripura,1992-93,550
Uttarakhand,1992-93,–
NCT Delhi,1992-93,–
Puducherry,1992-93,–
