State,Year,Value
West Bengal,1987-88,1449
Arunachal Pradesh,1987-88,2
Assam,1987-88,249
Himachal Pradesh,1987-88,103
Jammu and Kashmir,1987-88,123
Manipur,1987-88,12
Meghalaya,1987-88,20
Mizoram,1987-88,4
Nagaland,1987-88,15
Sikkim,1987-88,11
Tripura,1987-88,14
Uttarakhand,1987-88,–
NCT Delhi,1987-88,–
Puducherry,1987-88,–
Andhra Pradesh,1988-89,2122
Bihar,1988-89,831
Chhattisgarh,1988-89,–
Goa,1988-89,62
Gujarat,1988-89,1871
Haryana,1988-89,795
Jharkhand,1988-89,–
Karnataka,1988-89,1699
Kerala,1988-89,1066
Madhya Pradesh,1988-89,1338
Maharashtra,1988-89,3823
Orissa,1988-89,443
Punjab,1988-89,1041
Rajasthan,1988-89,893
Tamil Nadu,1988-89,1994
Uttar Pradesh,1988-89,2066
West Bengal,1988-89,1735
Arunachal Pradesh,1988-89,2
Assam,1988-89,279
Himachal Pradesh,1988-89,118
Jammu and Kashmir,1988-89,138
Manipur,1988-89,12
Meghalaya,1988-89,28
Mizoram,1988-89,2
Nagaland,1988-89,16
Sikkim,1988-89,11
Tripura,1988-89,18
Uttarakhand,1988-89,–
NCT Delhi,1988-89,–
Puducherry,1988-89,–
Andhra Pradesh,1989-90,2384
Bihar,1989-90,925
Chhattisgarh,1989-90,–
Goa,1989-90,70
Gujarat,1989-90,2160
Haryana,1989-90,910
Jharkhand,1989-90,–
Karnataka,1989-90,1932
Kerala,1989-90,1233
Madhya Pradesh,1989-90,1578
Maharashtra,1989-90,4401
Orissa,1989-90,525
Punjab,1989-90,1228
Rajasthan,1989-90,1073
Tamil Nadu,1989-90,2489
Uttar Pradesh,1989-90,2449
West Bengal,1989-90,1938
Arunachal Pradesh,1989-90,2
Assam,1989-90,333
Himachal Pradesh,1989-90,142
Jammu and Kashmir,1989-90,133
Manipur,1989-90,13
Meghalaya,1989-90,31
Mizoram,1989-90,3
Nagaland,1989-90,12
Sikkim,1989-90,11
Tripura,1989-90,21
Uttarakhand,1989-90,–
NCT Delhi,1989-90,–
Puducherry,1989-90,–
