State,Year,Value
Madhya Pradesh,1986-87,2532.0
Maharashtra,1986-87,4979.0
Orissa,1986-87,1248.0
Punjab,1986-87,1202.0
Rajasthan,1986-87,1867.0
Tamil Nadu,1986-87,2776.0
Uttar Pradesh,1986-87,4349.0
West Bengal,1986-87,2698.0
Arunachal Pradesh,1986-87,173.0
Assam,1986-87,1149.0
Himachal Pradesh,1986-87,464.0
Jammu and Kashmir,1986-87,653.0
Manipur,1986-87,198.0
Meghalaya,1986-87,156.0
Mizoram,1986-87,46.0
Nagaland,1986-87,263.0
Sikkim,1986-87,81.0
Tripura,1986-87,232.0
Uttarakhand,1986-87,5547.9
NCT Delhi,1986-87,5231.35294117647
Puducherry,1986-87,2453.6
Andhra Pradesh,1987-88,3441.0
Bihar,1987-88,2619.0
Chhattisgarh,1987-88,8667.8
Goa,1987-88,169.0
Gujarat,1987-88,3093.0
Haryana,1987-88,1288.0
Jharkhand,1987-88,10803.888888888889
Karnataka,1987-88,2667.0
Kerala,1987-88,1781.0
Madhya Pradesh,1987-88,3053.0
Maharashtra,1987-88,5505.0
Orissa,1987-88,1408.0
Punjab,1987-88,1634.0
Rajasthan,1987-88,2539.0
Tamil Nadu,1987-88,3375.0
Uttar Pradesh,1987-88,5080.0
West Bengal,1987-88,3028.0
Arunachal Pradesh,1987-88,246.0
Assam,1987-88,1326.0
Himachal Pradesh,1987-88,609.0
Jammu and Kashmir,1987-88,861.0
Manipur,1987-88,215.0
Meghalaya,1987-88,190.0
Mizoram,1987-88,246.0
Nagaland,1987-88,328.0
Sikkim,1987-88,99.0
Tripura,1987-88,294.0
Uttarakhand,1987-88,5547.9
NCT Delhi,1987-88,5231.35294117647
Puducherry,1987-88,2453.6
Andhra Pradesh,1988-89,4246.0
Bihar,1988-89,3211.0
Chhattisgarh,1988-89,8667.8
Goa,1988-89,199.0
Gujarat,1988-89,3362.0
Haryana,1988-89,1443.0
Jharkhand,1988-89,10803.888888888889
Karnataka,1988-89,3002.0
Kerala,1988-89,2061.0
Madhya Pradesh,1988-89,3618.0
Maharashtra,1988-89,6541.0
Orissa,1988-89,1659.0
Punjab,1988-89,1868.0
Rajasthan,1988-89,2571.0
Tamil Nadu,1988-89,3763.0
Uttar Pradesh,1988-89,6257.0
West Bengal,1988-89,3475.0
Arunachal Pradesh,1988-89,214.0
Assam,1988-89,1435.0
Himachal Pradesh,1988-89,768.0
Jammu and Kashmir,1988-89,966.0
Manipur,1988-89,278.0
Meghalaya,1988-89,225.0
Mizoram,1988-89,231.0
Nagaland,1988-89,344.0
Sikkim,1988-89,113.0
Tripura,1988-89,381.0
Uttarakhand,1988-89,5547.9
NCT Delhi,1988-89,5231.35294117647
Puducherry,1988-89,2453.6
Andhra Pradesh,1989-90,4715.0
Bihar,1989-90,3945.0
Chhattisgarh,1989-90,8667.8
Goa,1989-90,228.0
Gujarat,1989-90,3727.0
Haryana,1989-90,1702.0
Jharkhand,1989-90,10803.888888888889
Karnataka,1989-90,3483.0
Kerala,1989-90,2298.0
Madhya Pradesh,1989-90,3779.0
Maharashtra,1989-90,7903.0
Orissa,1989-90,1846.0
Punjab,1989-90,2021.0
Rajasthan,1989-90,2698.0
Tamil Nadu,1989-90,4731.0
Uttar Pradesh,1989-90,7654.0
West Bengal,1989-90,3971.0
Arunachal Pradesh,1989-90,258.0
Assam,1989-90,1669.0
Himachal Pradesh,1989-90,783.0
Jammu and Kashmir,1989-90,1081.0
Manipur,1989-90,299.0
Meghalaya,1989-90,259.0
Mizoram,1989-90,240.0
Nagaland,1989-90,393.0
Sikkim,1989-90,115.0
Tripura,1989-90,420.0
Uttarakhand,1989-90,5547.9
NCT Delhi,1989-90,5231.35294117647
Puducherry,1989-90,2453.6
Andhra Pradesh,1990-91,5505.0
Bihar,1990-91,4888.0
Chhattisgarh,1990-91,8667.8
Goa,1990-91,275.0
Gujarat,1990-91,4082.0
Haryana,1990-91,1933.0
Jharkhand,1990-91,10803.888888888889
Karnataka,1990-91,3971.0
Kerala,1990-91,2825.0
Madhya Pradesh,1990-91,4746.0
Maharashtra,1990-91,8754.0
Orissa,1990-91,2191.0
Punjab,1990-91,2520.0
Rajasthan,1990-91,3480.0
Tamil Nadu,1990-91,5641.0
Uttar Pradesh,1990-91,9539.0
West Bengal,1990-91,5128.0
Arunachal Pradesh,1990-91,258.0
Assam,1990-91,1920.0
Himachal Pradesh,1990-91,902.0
Jammu and Kashmir,1990-91,1249.0
Manipur,1990-91,307.0
Meghalaya,1990-91,311.0
Mizoram,1990-91,305.0
Nagaland,1990-91,422.0
Sikkim,1990-91,128.0
Tripura,1990-91,497.0
Uttarakhand,1990-91,5547.9
NCT Delhi,1990-91,5231.35294117647
Puducherry,1990-91,2453.6
Andhra Pradesh,1991-92,6452.0
Bihar,1991-92,5739.0
Chhattisgarh,1991-92,8667.8
Goa,1991-92,332.0
Gujarat,1991-92,5238.0
Haryana,1991-92,2274.0
Jharkhand,1991-92,10803.888888888889
Karnataka,1991-92,4954.0
Kerala,1991-92,3216.0
Madhya Pradesh,1991-92,5421.0
Maharashtra,1991-92,10049.0
Orissa,1991-92,2635.0
Punjab,1991-92,4197.0
Rajasthan,1991-92,4080.0
Tamil Nadu,1991-92,8680.0
Uttar Pradesh,1991-92,10399.0
West Bengal,1991-92,5324.0
Arunachal Pradesh,1991-92,288.0
Assam,1991-92,2148.0
Himachal Pradesh,1991-92,983.0
Jammu and Kashmir,1991-92,1521.0
Manipur,1991-92,378.0
Meghalaya,1991-92,368.0
Mizoram,1991-92,321.0
Nagaland,1991-92,489.0
Sikkim,1991-92,155.0
Tripura,1991-92,548.0
Uttarakhand,1991-92,5547.9
NCT Delhi,1991-92,5231.35294117647
Puducherry,1991-92,2453.6
Andhra Pradesh,1992-93,7190.0
Bihar,1992-93,6570.0
Chhattisgarh,1992-93,8667.8
Goa,1992-93,380.0
Gujarat,1992-93,6211.0
Haryana,1992-93,2379.0
Jharkhand,1992-93,10803.888888888889
Karnataka,1992-93,5592.0
Kerala,1992-93,3656.0
Madhya Pradesh,1992-93,6157.0
Maharashtra,1992-93,11547.0
Orissa,1992-93,3049.0
Punjab,1992-93,3423.0
Rajasthan,1992-93,4997.0
Tamil Nadu,1992-93,8543.0
Uttar Pradesh,1992-93,12691.0
West Bengal,1992-93,5664.0
Arunachal Pradesh,1992-93,340.0
Assam,1992-93,2451.0
Himachal Pradesh,1992-93,1146.0
Jammu and Kashmir,1992-93,1782.0
Manipur,1992-93,398.0
Meghalaya,1992-93,410.0
Mizoram,1992-93,374.0
Nagaland,1992-93,527.0
Sikkim,1992-93,180.0
Tripura,1992-93,550.0
Uttarakhand,1992-93,5547.9
NCT Delhi,1992-93,5231.35294117647
Puducherry,1992-93,2453.6
Andhra Pradesh,1993-94,8018.0
Bihar,1993-94,7319.0
Chhattisgarh,1993-94,8667.8
Goa,1993-94,431.0
Gujarat,1993-94,6934.0
Haryana,1993-94,3401.0
Jharkhand,1993-94,10803.888888888889
Karnataka,1993-94,6208.0
Kerala,1993-94,4293.0
Madhya Pradesh,1993-94,7518.0
Maharashtra,1993-94,13109.0
Orissa,1993-94,3482.0
Punjab,1993-94,4044.0
Rajasthan,1993-94,5898.0
Tamil Nadu,1993-94,8758.0
Uttar Pradesh,1993-94,13280.0
West Bengal,1993-94,6906.0
Arunachal Pradesh,1993-94,399.0
Assam,1993-94,2901.0
Himachal Pradesh,1993-94,1352.0
Jammu and Kashmir,1993-94,1768.0
Manipur,1993-94,438.0
Meghalaya,1993-94,483.0
Mizoram,1993-94,419.0
Nagaland,1993-94,680.0
Sikkim,1993-94,189.0
Tripura,1993-94,643.0
Uttarakhand,1993-94,5547.9
NCT Delhi,1993-94,508.0
Puducherry,1993-94,2453.6
Andhra Pradesh,1994-95,9514.0
Bihar,1994-95,7731.0
Chhattisgarh,1994-95,8667.8
Goa,1994-95,477.0
Gujarat,1994-95,7544.0
Haryana,1994-95,6273.0
Jharkhand,1994-95,10803.888888888889
Karnataka,1994-95,7265.0
Kerala,1994-95,5066.0
Madhya Pradesh,1994-95,7809.0
Maharashtra,1994-95,14812.0
Orissa,1994-95,4036.0
Punjab,1994-95,6043.0
Rajasthan,1994-95,6747.0
Tamil Nadu,1994-95,9635.0
Uttar Pradesh,1994-95,15396.0
West Bengal,1994-95,7631.0
Arunachal Pradesh,1994-95,439.0
Assam,1994-95,3271.0
Himachal Pradesh,1994-95,1614.0
Jammu and Kashmir,1994-95,2324.0
Manipur,1994-95,508.0
Meghalaya,1994-95,457.0
Mizoram,1994-95,464.0
Nagaland,1994-95,722.0
Sikkim,1994-95,526.0
Tripura,1994-95,706.0
Uttarakhand,1994-95,5547.9
NCT Delhi,1994-95,1431.0
Puducherry,1994-95,2453.6
Andhra Pradesh,1995-96,10614.0
Bihar,1995-96,8456.0
Chhattisgarh,1995-96,8667.8
Goa,1995-96,785.0
Gujarat,1995-96,8766.0
Haryana,1995-96,5362.0
Jharkhand,1995-96,10803.888888888889
Karnataka,1995-96,8481.0
Kerala,1995-96,5826.0
Madhya Pradesh,1995-96,9131.0
Maharashtra,1995-96,17168.0
Orissa,1995-96,4698.0
Punjab,1995-96,5635.0
Rajasthan,1995-96,8332.0
Tamil Nadu,1995-96,10911.0
Uttar Pradesh,1995-96,17556.0
West Bengal,1995-96,8626.0
Arunachal Pradesh,1995-96,507.0
Assam,1995-96,3576.0
Himachal Pradesh,1995-96,1904.0
Jammu and Kashmir,1995-96,2516.0
Manipur,1995-96,619.0
Meghalaya,1995-96,580.0
Mizoram,1995-96,565.0
Nagaland,1995-96,845.0
Sikkim,1995-96,881.0
Tripura,1995-96,787.0
Uttarakhand,1995-96,5547.9
NCT Delhi,1995-96,1877.0
Puducherry,1995-96,2453.6
Andhra Pradesh,1996-97,14392.0
Bihar,1996-97,8254.0
Chhattisgarh,1996-97,8667.8
Goa,1996-97,789.0
Gujarat,1996-97,10259.0
Haryana,1996-97,6767.0
Jharkhand,1996-97,10803.888888888889
Karnataka,1996-97,10201.0
Kerala,1996-97,6788.0
Madhya Pradesh,1996-97,11462.0
Maharashtra,1996-97,20846.0
Orissa,1996-97,5117.0
Punjab,1996-97,6926.0
Rajasthan,1996-97,8426.0
Tamil Nadu,1996-97,13065.0
Uttar Pradesh,1996-97,19208.0
West Bengal,1996-97,10362.0
Arunachal Pradesh,1996-97,602.0
Assam,1996-97,3571.0
Himachal Pradesh,1996-97,2147.0
Jammu and Kashmir,1996-97,2899.0
Manipur,1996-97,708.0
Meghalaya,1996-97,617.0
Mizoram,1996-97,621.0
Nagaland,1996-97,865.0
Sikkim,1996-97,1119.0
Tripura,1996-97,907.0
Uttarakhand,1996-97,5547.9
NCT Delhi,1996-97,2032.0
Puducherry,1996-97,2453.6
Andhra Pradesh,1997-98,14544.0
Bihar,1997-98,8957.0
Chhattisgarh,1997-98,8667.8
Goa,1997-98,1122.0
Gujarat,1997-98,12143.0
Haryana,1997-98,6617.0
Jharkhand,1997-98,10803.888888888889
Karnataka,1997-98,10890.0
Kerala,1997-98,8241.0
Madhya Pradesh,1997-98,11726.0
Maharashtra,1997-98,22897.0
Orissa,1997-98,5537.0
Punjab,1997-98,7835.0
Rajasthan,1997-98,8986.0
Tamil Nadu,1997-98,14951.0
Uttar Pradesh,1997-98,22195.0
West Bengal,1997-98,11322.0
Arunachal Pradesh,1997-98,665.0
Assam,1997-98,4039.0
Himachal Pradesh,1997-98,2699.0
Jammu and Kashmir,1997-98,3480.0
Manipur,1997-98,798.0
Meghalaya,1997-98,685.0
Mizoram,1997-98,662.0
Nagaland,1997-98,1004.0
Sikkim,1997-98,1258.0
Tripura,1997-98,1060.0
Uttarakhand,1997-98,5547.9
NCT Delhi,1997-98,2322.0
Puducherry,1997-98,2453.6
Andhra Pradesh,1998-99,16944.0
Bihar,1998-99,10623.0
Chhattisgarh,1998-99,8667.8
Goa,1998-99,1288.0
Gujarat,1998-99,15606.0
Haryana,1998-99,7019.0
Jharkhand,1998-99,10803.888888888889
Karnataka,1998-99,12446.0
Kerala,1998-99,9228.0
Madhya Pradesh,1998-99,14218.0
Maharashtra,1998-99,25663.0
Orissa,1998-99,6819.0
Punjab,1998-99,8384.0
Rajasthan,1998-99,11576.0
Tamil Nadu,1998-99,17697.0
Uttar Pradesh,1998-99,26075.0
West Bengal,1998-99,14243.0
Arunachal Pradesh,1998-99,747.0
Assam,1998-99,4416.0
Himachal Pradesh,1998-99,3334.0
Jammu and Kashmir,1998-99,4909.0
Manipur,1998-99,789.0
Meghalaya,1998-99,815.0
Mizoram,1998-99,691.0
Nagaland,1998-99,1049.0
Sikkim,1998-99,1496.0
Tripura,1998-99,1176.0
Uttarakhand,1998-99,5547.9
NCT Delhi,1998-99,2840.0
Puducherry,1998-99,2453.6
Andhra Pradesh,1999-00,18038.0
Bihar,1999-00,16128.0
Chhattisgarh,1999-00,8667.8
Goa,1999-00,1437.0
Gujarat,1999-00,17517.0
Haryana,1999-00,6952.0
Jharkhand,1999-00,10803.888888888889
Karnataka,1999-00,15232.0
Kerala,1999-00,11566.0
Madhya Pradesh,1999-00,16136.0
Maharashtra,1999-00,29538.0
Orissa,1999-00,8459.0
Punjab,1999-00,10195.0
