State,Year,Value
Tamil Nadu,1986-87,454.0
Uttar Pradesh,1986-87,1410.0
West Bengal,1986-87,587.0
Arunachal Pradesh,1986-87,23.0
Assam,1986-87,243.0
Himachal Pradesh,1986-87,89.0
Jammu and Kashmir,1986-87,244.0
Manipur,1986-87,32.0
Meghalaya,1986-87,5.0
Mizoram,1986-87,-22.0
Nagaland,1986-87,30.0
Sikkim,1986-87,1.0
Tripura,1986-87,15.0
Uttarakhand,1986-87,1316.1
NCT Delhi,1986-87,1407.4117647058824
Puducherry,1986-87,605.0
Andhra Pradesh,1987-88,568.0
Bihar,1987-88,825.0
Chhattisgarh,1987-88,1076.2
Goa,1987-88,72.0
Gujarat,1987-88,976.0
Haryana,1987-88,216.0
Jharkhand,1987-88,3723.4444444444443
Karnataka,1987-88,518.0
Kerala,1987-88,448.0
Madhya Pradesh,1987-88,725.0
Maharashtra,1987-88,1014.0
Orissa,1987-88,506.0
Punjab,1987-88,968.0
Rajasthan,1987-88,903.0
Tamil Nadu,1987-88,660.0
Uttar Pradesh,1987-88,1014.0
West Bengal,1987-88,551.0
Arunachal Pradesh,1987-88,38.0
Assam,1987-88,421.0
Himachal Pradesh,1987-88,129.0
Jammu and Kashmir,1987-88,417.0
Manipur,1987-88,17.0
Meghalaya,1987-88,2.0
Mizoram,1987-88,102.0
Nagaland,1987-88,60.0
Sikkim,1987-88,9.0
Tripura,1987-88,62.0
Uttarakhand,1987-88,1316.1
NCT Delhi,1987-88,1407.4117647058824
Puducherry,1987-88,605.0
Andhra Pradesh,1988-89,673.0
Bihar,1988-89,535.0
Chhattisgarh,1988-89,1076.2
Goa,1988-89,64.0
Gujarat,1988-89,735.0
Haryana,1988-89,289.0
Jharkhand,1988-89,3723.4444444444443
Karnataka,1988-89,497.0
Kerala,1988-89,412.0
Madhya Pradesh,1988-89,871.0
Maharashtra,1988-89,1277.0
Orissa,1988-89,550.0
Punjab,1988-89,833.0
Rajasthan,1988-89,736.0
Tamil Nadu,1988-89,654.0
Uttar Pradesh,1988-89,1802.0
West Bengal,1988-89,579.0
Arunachal Pradesh,1988-89,1.0
Assam,1988-89,303.0
Himachal Pradesh,1988-89,254.0
Jammu and Kashmir,1988-89,410.0
Manipur,1988-89,33.0
Meghalaya,1988-89,10.0
Mizoram,1988-89,11.0
Nagaland,1988-89,48.0
Sikkim,1988-89,11.0
Tripura,1988-89,84.0
Uttarakhand,1988-89,1316.1
NCT Delhi,1988-89,1407.4117647058824
Puducherry,1988-89,605.0
Andhra Pradesh,1989-90,972.0
Bihar,1989-90,994.0
Chhattisgarh,1989-90,1076.2
Goa,1989-90,95.0
Gujarat,1989-90,952.0
Haryana,1989-90,393.0
Jharkhand,1989-90,3723.4444444444443
Karnataka,1989-90,625.0
Kerala,1989-90,604.0
Madhya Pradesh,1989-90,723.0
Maharashtra,1989-90,1844.0
Orissa,1989-90,574.0
Punjab,1989-90,909.0
Rajasthan,1989-90,581.0
Tamil Nadu,1989-90,919.0
Uttar Pradesh,1989-90,2482.0
West Bengal,1989-90,1055.0
Arunachal Pradesh,1989-90,75.0
Assam,1989-90,528.0
Himachal Pradesh,1989-90,226.0
Jammu and Kashmir,1989-90,524.0
Manipur,1989-90,71.0
Meghalaya,1989-90,31.0
Mizoram,1989-90,-3.0
Nagaland,1989-90,141.0
Sikkim,1989-90,30.0
Tripura,1989-90,89.0
Uttarakhand,1989-90,1316.1
NCT Delhi,1989-90,1407.4117647058824
Puducherry,1989-90,605.0
Andhra Pradesh,1990-91,967.0
Bihar,1990-91,1595.0
Chhattisgarh,1990-91,1076.2
Goa,1990-91,96.0
Gujarat,1990-91,1798.0
Haryana,1990-91,386.0
Jharkhand,1990-91,3723.4444444444443
Karnataka,1990-91,559.0
Kerala,1990-91,799.0
Madhya Pradesh,1990-91,1019.0
Maharashtra,1990-91,1611.0
Orissa,1990-91,616.0
Punjab,1990-91,1242.0
Rajasthan,1990-91,545.0
Tamil Nadu,1990-91,1126.0
Uttar Pradesh,1990-91,3068.0
West Bengal,1990-91,1634.0
Arunachal Pradesh,1990-91,26.0
Assam,1990-91,568.0
Himachal Pradesh,1990-91,279.0
Jammu and Kashmir,1990-91,661.0
Manipur,1990-91,40.0
Meghalaya,1990-91,41.0
Mizoram,1990-91,-94.0
Nagaland,1990-91,102.0
Sikkim,1990-91,20.0
Tripura,1990-91,86.0
Uttarakhand,1990-91,1316.1
NCT Delhi,1990-91,1407.4117647058824
Puducherry,1990-91,605.0
Andhra Pradesh,1991-92,1125.0
Bihar,1991-92,1617.0
Chhattisgarh,1991-92,1076.2
Goa,1991-92,125.0
Gujarat,1991-92,1876.0
Haryana,1991-92,375.0
Jharkhand,1991-92,3723.4444444444443
Karnataka,1991-92,918.0
Kerala,1991-92,803.0
Madhya Pradesh,1991-92,984.0
Maharashtra,1991-92,1657.0
Orissa,1991-92,913.0
Punjab,1991-92,1151.0
Rajasthan,1991-92,792.0
Tamil Nadu,1991-92,1300.0
Uttar Pradesh,1991-92,2837.0
West Bengal,1991-92,1144.0
Arunachal Pradesh,1991-92,-20.0
Assam,1991-92,255.0
Himachal Pradesh,1991-92,224.0
Jammu and Kashmir,1991-92,449.0
Manipur,1991-92,69.0
Meghalaya,1991-92,72.0
Mizoram,1991-92,5.0
Nagaland,1991-92,96.0
Sikkim,1991-92,41.0
Tripura,1991-92,94.0
Uttarakhand,1991-92,1316.1
NCT Delhi,1991-92,1407.4117647058824
Puducherry,1991-92,605.0
Andhra Pradesh,1992-93,1569.0
Bihar,1992-93,1331.0
Chhattisgarh,1992-93,1076.2
Goa,1992-93,90.0
Gujarat,1992-93,1174.0
Haryana,1992-93,444.0
Jharkhand,1992-93,3723.4444444444443
Karnataka,1992-93,1386.0
Kerala,1992-93,732.0
Madhya Pradesh,1992-93,876.0
Maharashtra,1992-93,2586.0
Orissa,1992-93,740.0
Punjab,1992-93,1252.0
Rajasthan,1992-93,1159.0
Tamil Nadu,1992-93,1749.0
Uttar Pradesh,1992-93,3711.0
West Bengal,1992-93,1013.0
Arunachal Pradesh,1992-93,-9.0
Assam,1992-93,208.0
Himachal Pradesh,1992-93,312.0
Jammu and Kashmir,1992-93,204.0
Manipur,1992-93,18.0
Meghalaya,1992-93,93.0
Mizoram,1992-93,60.0
Nagaland,1992-93,138.0
Sikkim,1992-93,34.0
Tripura,1992-93,23.0
Uttarakhand,1992-93,1316.1
NCT Delhi,1992-93,1407.4117647058824
Puducherry,1992-93,605.0
Andhra Pradesh,1993-94,1833.0
Bihar,1993-94,1339.0
Chhattisgarh,1993-94,1076.2
Goa,1993-94,60.0
Gujarat,1993-94,526.0
Haryana,1993-94,480.0
Jharkhand,1993-94,3723.4444444444443
Karnataka,1993-94,1254.0
Kerala,1993-94,935.0
Madhya Pradesh,1993-94,983.0
Maharashtra,1993-94,2265.0
Orissa,1993-94,902.0
Punjab,1993-94,1493.0
Rajasthan,1993-94,1470.0
Tamil Nadu,1993-94,1358.0
Uttar Pradesh,1993-94,3166.0
West Bengal,1993-94,1672.0
Arunachal Pradesh,1993-94,16.0
Assam,1993-94,-18.0
Himachal Pradesh,1993-94,152.0
Jammu and Kashmir,1993-94,88.0
Manipur,1993-94,-20.0
Meghalaya,1993-94,88.0
Mizoram,1993-94,8.0
Nagaland,1993-94,174.0
Sikkim,1993-94,31.0
Tripura,1993-94,111.0
Uttarakhand,1993-94,1316.1
NCT Delhi,1993-94,232.0
Puducherry,1993-94,605.0
Andhra Pradesh,1994-95,2349.0
Bihar,1994-95,1342.0
Chhattisgarh,1994-95,1076.2
Goa,1994-95,45.0
Gujarat,1994-95,1292.0
Haryana,1994-95,535.0
Jharkhand,1994-95,3723.4444444444443
Karnataka,1994-95,1513.0
Kerala,1994-95,1109.0
Madhya Pradesh,1994-95,1417.0
Maharashtra,1994-95,2861.0
Orissa,1994-95,1159.0
Punjab,1994-95,1785.0
Rajasthan,1994-95,1763.0
Tamil Nadu,1994-95,1496.0
Uttar Pradesh,1994-95,4767.0
West Bengal,1994-95,1965.0
Arunachal Pradesh,1994-95,73.0
Assam,1994-95,711.0
Himachal Pradesh,1994-95,620.0
Jammu and Kashmir,1994-95,-23.0
Manipur,1994-95,62.0
Meghalaya,1994-95,35.0
Mizoram,1994-95,38.0
Nagaland,1994-95,239.0
Sikkim,1994-95,46.0
Tripura,1994-95,110.0
Uttarakhand,1994-95,1316.1
NCT Delhi,1994-95,389.0
Puducherry,1994-95,605.0
Andhra Pradesh,1995-96,2417.0
Bihar,1995-96,1571.0
Chhattisgarh,1995-96,1076.2
Goa,1995-96,97.0
Gujarat,1995-96,1746.0
Haryana,1995-96,986.0
Jharkhand,1995-96,3723.4444444444443
Karnataka,1995-96,1457.0
Kerala,1995-96,1303.0
Madhya Pradesh,1995-96,1633.0
Maharashtra,1995-96,4151.0
Orissa,1995-96,1396.0
Punjab,1995-96,1365.0
Rajasthan,1995-96,2574.0
Tamil Nadu,1995-96,1256.0
Uttar Pradesh,1995-96,4381.0
West Bengal,1995-96,2696.0
Arunachal Pradesh,1995-96,40.0
Assam,1995-96,652.0
Himachal Pradesh,1995-96,521.0
Jammu and Kashmir,1995-96,97.0
Manipur,1995-96,105.0
Meghalaya,1995-96,52.0
Mizoram,1995-96,71.0
Nagaland,1995-96,231.0
Sikkim,1995-96,40.0
Tripura,1995-96,34.0
Uttarakhand,1995-96,1316.1
NCT Delhi,1995-96,556.0
Puducherry,1995-96,605.0
Andhra Pradesh,1996-97,2812.0
Bihar,1996-97,891.0
Chhattisgarh,1996-97,1076.2
Goa,1996-97,104.0
Gujarat,1996-97,2358.0
Haryana,1996-97,1099.0
Jharkhand,1996-97,3723.4444444444443
Karnataka,1996-97,1944.0
Kerala,1996-97,1543.0
Madhya Pradesh,1996-97,1926.0
Maharashtra,1996-97,4954.0
Orissa,1996-97,1602.0
Punjab,1996-97,1465.0
Rajasthan,1996-97,2507.0
Tamil Nadu,1996-97,2445.0
Uttar Pradesh,1996-97,5956.0
West Bengal,1996-97,3397.0
Arunachal Pradesh,1996-97,70.0
Assam,1996-97,74.0
Himachal Pradesh,1996-97,572.0
Jammu and Kashmir,1996-97,166.0
Manipur,1996-97,168.0
Meghalaya,1996-97,23.0
Mizoram,1996-97,125.0
Nagaland,1996-97,184.0
Sikkim,1996-97,56.0
Tripura,1996-97,122.0
Uttarakhand,1996-97,1316.1
NCT Delhi,1996-97,690.0
Puducherry,1996-97,605.0
Andhra Pradesh,1997-98,2428.0
Bihar,1997-98,981.0
Chhattisgarh,1997-98,1076.2
Goa,1997-98,125.0
Gujarat,1997-98,3175.0
Haryana,1997-98,1128.0
Jharkhand,1997-98,3723.4444444444443
Karnataka,1997-98,1610.0
Kerala,1997-98,2414.0
Madhya Pradesh,1997-98,1821.0
Maharashtra,1997-98,6442.0
Orissa,1997-98,1803.0
Punjab,1997-98,2478.0
Rajasthan,1997-98,2552.0
Tamil Nadu,1997-98,2122.0
Uttar Pradesh,1997-98,7576.0
West Bengal,1997-98,4008.0
Arunachal Pradesh,1997-98,121.0
Assam,1997-98,142.0
Himachal Pradesh,1997-98,1202.0
Jammu and Kashmir,1997-98,444.0
Manipur,1997-98,188.0
Meghalaya,1997-98,127.0
Mizoram,1997-98,124.0
Nagaland,1997-98,204.0
Sikkim,1997-98,67.0
Tripura,1997-98,196.0
Uttarakhand,1997-98,1316.1
NCT Delhi,1997-98,726.0
Puducherry,1997-98,605.0
Andhra Pradesh,1998-99,5706.0
Bihar,1998-99,2379.0
Chhattisgarh,1998-99,1076.2
Goa,1998-99,269.0
